time , step-size , {controllerFMU}.controller.fanSpeed , {controllerFMU}.controller.valveOpen , {environmentFMU}.env.OAT_OUT , {environmentFMU}.env.RAT_OUT , {roomFMU}.room.RAT , {wallFMU}.wall.Tisurf
48.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 25.25874516535758 , 15.719530617301876
49.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 25.41481235315539 , 15.7137129177146
50.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 25.569055651641822 , 15.707896283168438
51.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 25.721496332133764 , 15.702080715282884
52.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 25.87215541787823 , 15.69626621567489
53.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 26.02105368694538 , 15.690452785957312
54.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 26.168211675087736 , 15.68464042773946
55.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 26.313649678565962 , 15.678829142626933
56.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 26.457387756942243 , 15.673018932221739
57.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 26.599445735840515 , 15.667209798122224
58.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 26.739843209674234 , 15.661401741923152
59.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 26.878599544344173 , 15.655594765215652
60.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 27.015733879901713 , 15.64978886958717
61.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 27.15126513318384 , 15.643984056621674
62.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 27.285212000416163 , 15.638180327899454
63.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 27.41759295978556 , 15.632377684997195
64.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 27.548426273982866 , 15.626576129488056
65.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 27.677729992715893 , 15.620775662941545
66.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 27.80552195519424 , 15.614976286923701
67.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 27.931819792583184 , 15.609178002996837
68.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 28.056640930429847 , 15.603380812719784
69.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 28.1800025910628 , 15.597584717647802
70.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 28.301921795959437 , 15.591789719332636
71.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 28.422415368090356 , 15.585995819322434
72.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 28.541499934234036 , 15.58020301916186
73.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 28.659191927263905 , 15.574411320391908
74.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 28.775507588410846 , 15.568620724550154
75.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 28.89046296949825 , 15.56283123317064
76.0 , 1.0 , 20.0 , 20.0 , 0.0 , 0.0 , 29.0040739351493 , 15.557042847783865
