time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
0.0,0.0,0.0,0.0,6.11,0.0,16.0
0.1,0.1,0.0,0.0,6.11,0.0,15.999995176725003
1.1,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.999501562969208
2.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.998429123388112
3.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.997004486106903
4.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.995365525085443
5.1,1.0,1.0E-7,1.0E-7,6.112419999999998,0.0,15.993595925666362
6.1,1.0,1.0E-7,1.0E-7,6.134419999999999,0.0,15.991746325634992
7.1,1.0,1.0E-7,1.0E-7,6.156419999999997,0.0,15.989847966485263
8.1,1.0,1.0E-7,1.0E-7,6.178419999999997,0.0,15.987919417807525
9.1,1.0,1.0E-7,1.0E-7,6.200419999999997,0.0,15.985972072241188
10.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.984012853361861
11.1,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.982045970475722
12.1,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.980073983583205
13.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.978098448865207
14.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.976120312393707
15.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.974140149703162
16.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.97215831128876
17.1,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.970175010971587
18.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.968190379565764
19.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.966204497471315
20.1,1.0,1.0E-7,1.0E-7,6.217799999999992,0.0,15.964217414469571
21.1,1.0,1.0E-7,1.0E-7,6.1957999999999895,0.0,15.96222916167854
22.1,1.0,1.0E-7,1.0E-7,6.173799999999986,0.0,15.960239758051037
23.1,1.0,1.0E-7,1.0E-7,6.151799999999982,0.0,15.95824921298916
24.1,1.0,1.0E-7,1.0E-7,6.129799999999979,0.0,15.956257529634302
25.1,1.0,1.0E-7,1.0E-7,6.112200000000025,0.0,15.954264707329298
26.1,1.0,1.0E-7,1.0E-7,6.134200000000028,0.0,15.952270743246158
27.1,1.0,1.0E-7,1.0E-7,6.156200000000032,0.0,15.950275634901507
28.1,1.0,1.0E-7,1.0E-7,6.178200000000035,0.0,15.948279384347199
29.1,1.0,1.0E-7,1.0E-7,6.200200000000039,0.0,15.946281997311875
30.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.944283481750723
31.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.942283846899238
32.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.94028310193422
33.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.93828125382983
34.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.93627850810632
35.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.934274468248745
36.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.93226933790447
37.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.93026312007481
38.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.92825581751324
39.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.926247432821432
40.1,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.924237968507818
41.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.922227427022987
42.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.920215810781253
43.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.918203122173756
44.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.916189363576347
45.1,1.0,1.0E-7,1.0E-7,6.220000000000001,0.0,15.914174537354322
46.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.912158645866185
47.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.91014169146397
48.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.908123676495421
49.1,1.0,1.0E-7,1.0E-7,6.220000000000001,0.0,15.906104603304321
50.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.904084474230915
51.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.902063291612176
52.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.900041057781905
53.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.89801777507076
54.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.895993445806631
55.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.89396807231418
56.1,1.0,1.0E-7,1.0E-7,6.220000000000001,0.0,15.891941656915323
57.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.889914201929013
58.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.887885709671297
59.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.885856182455248
60.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.883825622591079
61.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.881794032386127
62.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.8797614141449
63.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.877727770168914
64.1,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.875693102756827
65.1,1.0,1.0E-7,1.0E-7,6.217580000000079,0.0,15.873657414204537
66.1,1.0,1.0E-7,1.0E-7,6.195580000000067,0.0,15.871620706732182
67.1,1.0,1.0E-7,1.0E-7,6.173580000000056,0.0,15.869582981666554
68.1,1.0,1.0E-7,1.0E-7,6.151580000000045,0.0,15.867544237647827
69.1,1.0,1.0E-7,1.0E-7,6.1295800000000344,0.0,15.865504471229677
70.1,1.0,1.0E-7,1.0E-7,6.112419999999978,0.0,15.863463677702034
71.1,1.0,1.0E-7,1.0E-7,6.134419999999988,0.0,15.861421851737113
72.1,1.0,1.0E-7,1.0E-7,6.15642,0.0,15.859378989328432
73.1,1.0,1.0E-7,1.0E-7,6.178200000000011,0.0,15.857335091561467
74.1,1.0,1.0E-7,1.0E-7,6.200200000000022,0.0,15.85529016351962
75.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.853244212691244
76.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.851197247971427
77.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.849149278279045
78.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.847100310380103
79.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.845050349267723
80.1,1.0,1.0E-7,1.0E-7,6.21779999999991,0.0,15.842999398857176
81.1,1.0,1.0E-7,1.0E-7,6.195799999999899,0.0,15.840947462342
82.1,1.0,1.0E-7,1.0E-7,6.173799999999888,0.0,15.838894541646614
83.1,1.0,1.0E-7,1.0E-7,6.151799999999877,0.0,15.836840635762579
84.1,1.0,1.0E-7,1.0E-7,6.129799999999865,0.0,15.83478574143984
85.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.832729854070909
86.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.830672968293923
87.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.828615079122406
88.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.826556183962778
89.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.82449628213806
90.1,1.0,1.0E-7,1.0E-7,6.112200000000202,0.0,15.822435374133965
91.1,1.0,1.0E-7,1.0E-7,6.134200000000213,0.0,15.820373461207451
92.1,1.0,1.0E-7,1.0E-7,6.156200000000225,0.0,15.818310545912254
93.1,1.0,1.0E-7,1.0E-7,6.178200000000236,0.0,15.816246633749685
94.1,1.0,1.0E-7,1.0E-7,6.200200000000247,0.0,15.814181732469333
95.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.812115851179918
96.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.810048999743627
97.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.807981187644222
98.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.805912421968578
99.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.80384270788245
100.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.801772049383919
101.1,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.79970044976055
102.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.797627911867481
103.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.795554438296126
104.1,1.0,1.0E-7,1.0E-7,6.22,0.0,15.793480031476612
105.1,1.0,1.0E-7,1.0E-7,6.217799999999628,0.0,15.791404693740143
106.1,1.0,1.0E-7,1.0E-7,6.195799999999618,0.0,15.789328427290469
107.1,1.0,1.0E-7,1.0E-7,6.1737999999996065,0.0,15.787251233423396
108.1,1.0,1.0E-7,1.0E-7,6.151799999999595,0.0,15.785173110721232
109.1,1.0,1.0E-7,1.0E-7,6.129799999999584,0.0,15.78309405565782
110.1,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.78101406343058
111.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.77893312853164
112.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.776851245858667
113.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.774768412720197
114.1,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.77268462835244
115.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.770599893161172
116.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.768514208261326
117.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.766427575197467
118.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.764339995774174
119.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.762251471952535
120.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.76016200578776
121.1,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.758071599391204
122.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.755980254907065
123.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.753887974498598
124.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.751794760339367
125.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.749700614608235
126.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.747605539486155
127.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.745509537154234
128.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.743412609792717
129.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.74131475958002
130.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.73921598869263
131.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.737116299304642
132.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.735015693587636
133.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.73291417371064
134.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.730811741839988
135.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.72870840013937
136.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.726604150769733
137.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.724498995889412
138.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.722392937653906
139.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.720285978216141
140.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.718178119726222
141.1,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.716069364331576
142.1,1.0,1.0E-7,1.0E-7,6.11,0.0,15.713959714176914
