time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
78.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998267390349376
79.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998222647994265
80.0,1.0,1.0E-7,1.0E-7,6.219999999999911,0.0,15.998177343476756
81.0,1.0,1.0E-7,1.0E-7,6.1979999999999,0.0,15.998131477094626
82.0,1.0,1.0E-7,1.0E-7,6.175999999999889,0.0,15.998085049145823
83.0,1.0,1.0E-7,1.0E-7,6.153999999999878,0.0,15.998038059928472
84.0,1.0,1.0E-7,1.0E-7,6.1319999999998664,0.0,15.997990509738202
85.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99794239886815
86.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.997893727608975
87.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.997844496248858
88.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.997794705073504
89.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.997744354368827
90.0,1.0,1.0E-7,1.0E-7,6.110000000000201,0.0,15.997693444420937
91.0,1.0,1.0E-7,1.0E-7,6.132000000000212,0.0,15.997641975516148
92.0,1.0,1.0E-7,1.0E-7,6.154000000000224,0.0,15.997589947940968
93.0,1.0,1.0E-7,1.0E-7,6.176000000000235,0.0,15.99753736198211
94.0,1.0,1.0E-7,1.0E-7,6.1980000000002455,0.0,15.997484217929147
95.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.99743051607451
96.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.997376256713485
97.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.997321440144194
98.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.997266066667597
99.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.997210136584814
100.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.99715365019712
101.0,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.997096607805954
102.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.997039009712909
103.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.996980856219734
104.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.996922147628334
105.0,1.0,1.0E-7,1.0E-7,6.219999999999629,0.0,15.996862884240771
106.0,1.0,1.0E-7,1.0E-7,6.1979999999996185,0.0,15.99680306635926
107.0,1.0,1.0E-7,1.0E-7,6.175999999999608,0.0,15.996742694286166
108.0,1.0,1.0E-7,1.0E-7,6.153999999999597,0.0,15.99668176832401
109.0,1.0,1.0E-7,1.0E-7,6.131999999999586,0.0,15.996620288772796
110.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.996558255930017
111.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.996495670090663
112.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.996432531547226
113.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.996368840589705
114.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.996304597508278
115.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.996239802593305
116.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.996174456135325
117.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.996108558425055
118.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99604210975339
119.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.9959751104114
120.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.995907560690334
121.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.995839460881612
122.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99577081127683
123.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99570161216776
124.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.995631863846342
125.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.995561566604687
126.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.995490720735082
127.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99541932652998
128.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.995347384282002
129.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.995274894283941
130.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.995201856828755
131.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.995128272209568
132.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99505414071967
133.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.994979462652518
134.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99490423830173
135.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99482846796109
136.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.994752151924542
137.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.994675290486194
138.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.994597883940312
139.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.994519932581325
140.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.994441436703818
141.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.994362396602536
142.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.994282812572383
143.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.994202684908416
144.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.994122013905852
145.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.994040799860059
146.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.993959043066562
147.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99387674382104
148.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.993793902419323
149.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.993710519157393
150.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.993626594331383
151.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.993542128237577
152.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.993457121172408
153.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99337157343246
154.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99328548531446
155.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.993198857115289
156.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.993111689131965
157.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99302398166166
158.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.992935735001687
159.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.992846949449504
160.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.992757625302712
161.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.992667762859053
162.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.992577362416414
163.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.992486424272819
164.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.992394948726433
165.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.992302936075564
166.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.992210386618654
167.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.992117300654284
168.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.992023678481175
169.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.991929520398179
170.0,1.0,1.0E-7,1.0E-7,6.110219999999789,0.0,15.991834826704286
171.0,1.0,1.0E-7,1.0E-7,6.1322199999997675,0.0,15.991739597698624
172.0,1.0,1.0E-7,1.0E-7,6.154219999999748,0.0,15.99164383368045
173.0,1.0,1.0E-7,1.0E-7,6.176219999999728,0.0,15.991547534949184
174.0,1.0,1.0E-7,1.0E-7,6.198219999999708,0.0,15.991450701807043
175.0,1.0,1.0E-7,1.0E-7,6.219780000000312,0.0,15.99135333455904
176.0,1.0,1.0E-7,1.0E-7,6.197780000000332,0.0,15.99125543351297
177.0,1.0,1.0E-7,1.0E-7,6.175780000000352,0.0,15.991156998979408
178.0,1.0,1.0E-7,1.0E-7,6.153780000000372,0.0,15.991058031271644
179.0,1.0,1.0E-7,1.0E-7,6.131780000000393,0.0,15.990958530700398
180.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.990858497573821
181.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.990757932197507
182.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.990656834874494
183.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.990555205905299
184.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.990453045590563
185.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.990350354231053
186.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.99024713212766
187.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.990143379581397
188.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.990039096893401
189.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.989934284364928
190.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.989828942297356
191.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.989723070992184
192.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.989616670751031
193.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.989509741875633
194.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.989402284667843
195.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.989294299429634
