time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
0.0,0.0,0.0,0.0,6.11,0.0,16.0
0.2523,0.2523,0.0,0.0,6.11,0.0,15.999970029596565
0.5046,0.2523,0.0,0.0,6.109999999999999,0.0,15.99988493184484
0.7569000000000001,0.2523,0.0,0.0,6.109999999999999,0.0,15.999751215032337
1.0092,0.2523,1.0E-7,1.0E-7,6.109999999999999,0.0,15.99957461801369
1.2615,0.2523,1.0E-7,1.0E-7,6.109999999999999,0.0,15.99936020150782
1.5138,0.2523,1.0E-7,1.0E-7,6.11,0.0,15.999112427304265
1.7661,0.2523,1.0E-7,1.0E-7,6.109999999999999,0.0,15.998835229998253
2.0184,0.2523,1.0E-7,1.0E-7,6.110000000000001,0.0,15.998532079022462
2.2707,0.2523,1.0E-7,1.0E-7,6.11,0.0,15.998206167038203
2.523,0.2523,1.0E-7,1.0E-7,6.11,0.0,15.997859932352364
2.7753,0.2523,1.0E-7,1.0E-7,6.11,0.0,15.997495878633549
3.0276,0.2523,1.0E-7,1.0E-7,6.11,0.0,15.997116103443227
3.2799,0.2523,1.0E-7,1.0E-7,6.109999999999999,0.0,15.996722456363491
3.5322,0.2523,1.0E-7,1.0E-7,6.110000000000001,0.0,15.996316568314452
3.7845,0.2523,1.0E-7,1.0E-7,6.11,0.0,15.995899877405696
4.0368,0.2523,1.0E-7,1.0E-7,6.11,0.0,15.995473651731105
4.2891,0.2523,1.0E-7,1.0E-7,6.109999999999999,0.0,15.99503900946903
4.5414,0.2523,1.0E-7,1.0E-7,6.11,0.0,15.99459693660613
4.7937,0.2523,1.0E-7,1.0E-7,6.11,0.0,15.994148302565513
5.046,0.2523,1.0E-7,1.0E-7,6.1110999999999995,0.0,15.993693873987702
5.2983,0.2523,1.0E-7,1.0E-7,6.116599999999998,0.0,15.993234326882508
5.5506,0.2523,1.0E-7,1.0E-7,6.122319999999998,0.0,15.992770257348457
