time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
0.0,0.0,0.0,0.0,6.11,0.0,16.0
2.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.998554994940191
4.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.995536368237465
6.0,2.0,1.0E-7,1.0E-7,6.132219999999998,0.0,15.991933863094735
8.0,2.0,1.0E-7,1.0E-7,6.176219999999997,0.0,15.988113261731026
10.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.984209161058557
12.0,2.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.980271324645516
14.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.97631815580881
16.0,2.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.972356460642727
18.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.968388761862293
20.0,2.0,1.0E-7,1.0E-7,6.219999999999993,0.0,15.964416002236074
22.0,2.0,1.0E-7,1.0E-7,6.175999999999986,0.0,15.96043854174186
24.0,2.0,1.0E-7,1.0E-7,6.13199999999998,0.0,15.956456515906115
26.0,2.0,1.0E-7,1.0E-7,6.132000000000028,0.0,15.952469947419944
28.0,2.0,1.0E-7,1.0E-7,6.176000000000035,0.0,15.948478821148353
30.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.944483147580264
32.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.940482982407426
34.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.936478594479475
36.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.932469626397635
38.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.92845630616103
40.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.92443865601929
42.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.920416696115652
44.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.916390445786668
46.0,2.0,1.0E-7,1.0E-7,6.220000000000001,0.0,15.91235992404117
48.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.908325149738909
50.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.904286141653392
52.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.900242918497655
54.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.896195498932938
56.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.892143901571833
58.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.88808814497989
60.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.88402824767598
62.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.879964228132527
64.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.875896104775784
66.0,2.0,1.0E-7,1.0E-7,6.197780000000069,0.0,15.871823895986008
68.0,2.0,1.0E-7,1.0E-7,6.153780000000046,0.0,15.867747615320255
70.0,2.0,1.0E-7,1.0E-7,6.110219999999977,0.0,15.863667254686693
72.0,2.0,1.0E-7,1.0E-7,6.154219999999999,0.0,15.859582780369582
74.0,2.0,1.0E-7,1.0E-7,6.198000000000022,0.0,15.855494165573212
76.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.851401445897974
78.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.847304686440198
80.0,2.0,1.0E-7,1.0E-7,6.219999999999911,0.0,15.843203943400963
82.0,2.0,1.0E-7,1.0E-7,6.175999999999889,0.0,15.839099251744207
84.0,2.0,1.0E-7,1.0E-7,6.1319999999998664,0.0,15.834990626230105
86.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.830878044121173
88.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.826761467914652
90.0,2.0,1.0E-7,1.0E-7,6.110000000000201,0.0,15.822640874500973
92.0,2.0,1.0E-7,1.0E-7,6.154000000000224,0.0,15.818516264006757
94.0,2.0,1.0E-7,1.0E-7,6.1980000000002455,0.0,15.814387657442477
96.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.810255113509985
98.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.80611870569053
100.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.801978493020425
102.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.797834511224107
104.0,2.0,1.0E-7,1.0E-7,6.22,0.0,15.793686784516737
106.0,2.0,1.0E-7,1.0E-7,6.1979999999996185,0.0,15.78953533284062
108.0,2.0,1.0E-7,1.0E-7,6.153999999999597,0.0,15.785380169804563
110.0,2.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.781221286915338
112.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.77705864967338
114.0,2.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.77289222066559
116.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.76872199152288
118.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.764547970326419
120.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.760370171196726
122.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.756188610454085
124.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.752003305201992
126.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.747814272805217
128.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.743621530696801
130.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.739425096307306
132.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.735224987038675
134.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.73102122025461
136.0,2.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.726813813277142
138.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.722602783385309
140.0,2.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.718388147815041
142.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.714169923758723
144.0,2.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.709948128365474
146.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.705722778740812
148.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.7014938919481
150.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.6972614850065
152.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.693025574892602
154.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.688786178540063
156.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.684543312839708
158.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.680296994639724
160.0,2.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.676047240745557
162.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.671794067920239
164.0,2.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.667537492884325
166.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.663277532316046
168.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.659014202851456
170.0,2.0,1.0E-7,1.0E-7,6.110219999999789,0.0,15.654747521084325
172.0,2.0,1.0E-7,1.0E-7,6.154219999999748,0.0,15.650477503613775
174.0,2.0,1.0E-7,1.0E-7,6.198219999999708,0.0,15.646204176576658
176.0,2.0,1.0E-7,1.0E-7,6.197780000000332,0.0,15.641927599496775
178.0,2.0,1.0E-7,1.0E-7,6.153780000000372,0.0,15.637647840238625
180.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.633364929905891
182.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.62907885052612
184.0,2.0,1.0E-7,1.0E-7,6.11,0.0,15.62478956998353
186.0,2.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.620497080944848
