time , step-size , {controllerFMU}.controller.fanSpeed , {controllerFMU}.controller.valveOpen , {environmentFMU}.env.OAT_OUT , {environmentFMU}.env.RAT_OUT , {roomFMU}.room.RAT , {wallFMU}.wall.Tisurf
0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 16.0 , 16.0
1.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999999825020472 , 15.994132570344135
2.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999995975396743 , 15.988266710275957
3.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999988278968234 , 15.982402421303075
4.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999976737752048 , 15.976538532249071
5.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.99996135530373 , 15.970675631445472
6.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.99994213287171 , 15.964813134541744
7.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999919077084352 , 15.958952215707164
8.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999892189572046 , 15.953092290484141
9.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999861473501939 , 15.947233360651875
10.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.99982693204026 , 15.941375427985614
11.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999788568352354 , 15.93551849425665
12.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999746385602627 , 15.929662561232407
13.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.99970038695456 , 15.923807630676496
14.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999650575570712 , 15.917953704348559
15.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999596954612743 , 15.91210078400436
16.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.99953952724138 , 15.906248871395857
17.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.99947829661643 , 15.900397968271106
18.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999413265896766 , 15.894548076374287
19.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999344438240325 , 15.88869919744579
20.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999271816804143 , 15.882851333222051
21.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999195404744297 , 15.87700448543577
22.0 , 1.0 , 1.0E-7 , 1.0E-7 , 0.0 , 0.0 , 15.999115205215931 , 15.871158655815774
