time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
68.0,1.0,1.0E-7,1.0E-7,6.153780000000046,0.0,15.867748156778728
69.0,1.0,1.0E-7,1.0E-7,6.1317800000000355,0.0,15.865708493114742
70.0,1.0,1.0E-7,1.0E-7,6.110219999999977,0.0,15.86366780288323
71.0,1.0,1.0E-7,1.0E-7,6.132219999999988,0.0,15.86162608067218
72.0,1.0,1.0E-7,1.0E-7,6.154219999999999,0.0,15.859583321954744
73.0,1.0,1.0E-7,1.0E-7,6.17600000000001,0.0,15.85753952739781
74.0,1.0,1.0E-7,1.0E-7,6.198000000000022,0.0,15.855494701831118
75.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.85344885258965
76.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.851401988542083
77.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.849354118826296
78.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.847305250392928
79.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.845255388347459
80.0,1.0,1.0E-7,1.0E-7,6.219999999999911,0.0,15.843204536673527
81.0,1.0,1.0E-7,1.0E-7,6.1979999999999,0.0,15.841152698672323
82.0,1.0,1.0E-7,1.0E-7,6.175999999999889,0.0,15.83909987656826
83.0,1.0,1.0E-7,1.0E-7,6.153999999999878,0.0,15.837046069586274
84.0,1.0,1.0E-7,1.0E-7,6.1319999999998664,0.0,15.83499127461763
85.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.832935487140285
86.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.830878701777788
87.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.828820913299923
88.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.826762118913448
89.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.82470231782055
90.0,1.0,1.0E-7,1.0E-7,6.110000000000201,0.0,15.822641510433662
91.0,1.0,1.0E-7,1.0E-7,6.132000000000212,0.0,15.820579697899
92.0,1.0,1.0E-7,1.0E-7,6.154000000000224,0.0,15.818516882468794
93.0,1.0,1.0E-7,1.0E-7,6.176000000000235,0.0,15.816453069410352
94.0,1.0,1.0E-7,1.0E-7,6.1980000000002455,0.0,15.814388266331587
95.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.812322482256025
96.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.810255727060582
97.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.8081880104732
98.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.806119339780748
99.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.804049720270495
100.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.801979156014403
101.0,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.799907650345093
102.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.797835206145166
103.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.795761826022801
104.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.793687512418368
105.0,1.0,1.0E-7,1.0E-7,6.219999999999629,0.0,15.791612267669489
106.0,1.0,1.0E-7,1.0E-7,6.1979999999996185,0.0,15.789536094049973
107.0,1.0,1.0E-7,1.0E-7,6.175999999999608,0.0,15.78745899313283
108.0,1.0,1.0E-7,1.0E-7,6.153999999999597,0.0,15.78538096371973
109.0,1.0,1.0E-7,1.0E-7,6.131999999999586,0.0,15.783302002417416
110.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.781222104503753
111.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.77914126445303
112.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.777059476917385
113.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.774976739004687
114.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.772893049829392
115.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.770808409723427
116.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.768722819757022
117.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.766636281447822
118.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.764548796583735
119.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.762460367116242
120.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.760370995094704
121.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.758280682627015
122.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.756189431855477
123.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.754097244942146
124.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.752004124060065
125.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.74991007138787
126.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.74781508910647
127.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.745719179397078
128.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.743622344440126
129.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,15.741524586414183
130.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.739425907495987
131.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.737326309859904
132.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.73522579567774
133.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.733124367118815
134.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.731022026349667
135.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.728918775534346
136.0,1.0,1.0E-7,1.0E-7,6.110000000000001,0.0,15.726814616834039
137.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.724709552407333
138.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.722603584410045
